signal	files
ACCCmdActive : 23|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
ACCEL_OR_RPM : 7|16@0+ (1,0) [0|255] "" XXX	File(s):chrysler_pacifica_2017_hybrid.dbc
ACCAlwaysOne : 0|1@0+ (1,0) [0|0] "" Vector__XXX	File(s):cadillac_ct6_powertrain.dbc
ACCDrvrSeltdSpd : 3|12@0+ (0.0625,0) [0|255.9375] "km / h"  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
ACCFailInfo : 11|2@1+ (1,0) [0|3] "" CLU,CUBIS,ESC,IBOX	File(s):hyundai_kia_generic.dbc
ACCGapLevel : 21|2@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
ACCLeadCar : 44|1@0+ (1,0) [0|0] "" Vector__XXX	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
ACCReqLim : 22|2@1+ (1.0,0.0) [0.0|3.0] ""  EMS,SCC	File(s):hyundai_kia_generic.dbc
ACCResumeButton : 1|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc
ACCResumeButton : 1|1@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
ACCSpeedSetpoint : 19|12@0+ (1,0) [0|0] "km/h"  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
ACCSTBK : 12|3@0+ (1,0) [0|0] "" Vector__XXX	File(s):toyota_2017_ref_pt.dbc
ACCSettingType : 3|2@0+ (1,0) [0|3] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
ACCSnsClnRqdIO : 8|1@0+ (1,0) [0|1] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
AMP_VehicleSpeedamp : 55|8@0+ (1,0) [0|0] ""  H_U	File(s):hyundai_2015_mcan.dbc
AcceleratorPedal : 55|8@0+ (1,0) [0|0] ""  NEO	File(s):cadillac_ct6_powertrain.dbc, gm_global_a_powertrain.dbc
AcceleratorPedalPercentage : 16|16@1+ (0.01,0) [0|100] "" XXX	File(s):bmw_e9x_e8x.dbc
AcceleratorPedalPressed : 52|1@0+ (1,0) [0|7] "" XXX	File(s):bmw_e9x_e8x.dbc
AdptDrvrSeatStng : 55|3@0+ (1,0) [0|7] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
AdptPsngrSeatStng : 63|3@0+ (1,0) [0|7] ""  XXX	File(s):gm_global_a_lowspeed_1818125.dbc
AdvDrAstMpLatOffst : 40|9@0+ (1,-256) [-256|255] "m"  EOCM2B_IMX6_FO,EOCM2B_K2_FO,EOCM2B_K1_FO,EOCM2A_IMX6_FO,EOCM2A_K2_FO,EOCM2A_K1_FO	File(s):cadillac_ct6_object.dbc
AdvDrAstMpMtdtAvbl : 8|1@0+ (1,0) [0|1] ""  EOCM2A_IMX6_FO,EOCM2A_K2_FO,EOCM2A_K1_FO,EOCM2B_IMX6_FO,EOCM2B_K2_FO,EOCM2B_K1_FO	File(s):cadillac_ct6_object.dbc
AirAmb_Te_ActlFilt_UB : 14|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
AirAmb_Te_Actl_UB : 40|1@0+ (1,0) [0|0] "" XXX	File(s):ford_cgea1_2_bodycan_2011.dbc
AmbTempImpr : 47|10@0+ (0.25,-128.0) [0|0] "degreesC" XXX	File(s):ford_cgea1_2_ptcan_2011.dbc
